state,year,state_tax_per_pack,price_per_pack,pack_sales_per_capita
IN,1998,0.155,1.9,135.9
AZ,2018,2,7.362,21.8
WA,1976,0.16,0.537,100.3
VT,2000,0.44,3.232,88.9
SC,1989,0.07,1.252,122.4
NY,2006,1.5,5.444,32.4
ME,2000,0.74,3.532,82.9
MI,1974,0.11,0.444,138.8
MN,2005,0.48,4.467,65.7
MN,2011,1.576,5.907,51.5
DE,1972,0.14,0.44,156.3
AL,1987,0.165,1.144,114
KS,1981,0.11,0.651,132
SD,1988,0.23,1.301,91.9
OK,1993,0.23,1.634,86.2
DC,1987,0.17,1.19,113
WI,2018,2.52,7.645,37.2
OR,2001,0.68,3.623,68.6
NH,1994,0.25,1.639,153.8
TX,2009,1.41,5.529,42.3
SC,1999,0.07,2.553,109.4
MN,1990,0.38,1.739,90.7
AR,1989,0.21,1.412,118.3
OK,1984,0.18,0.951,128.1
MA,1984,0.26,1.083,116
NV,1991,0.35,1.938,115.5
NJ,2003,1.5,5.47,48.1
HI,1986,0.28,1.242,61.2
MS,1992,0.18,1.778,103.9
MS,1989,0.18,1.399,108.3
ME,2005,1,5.213,71.5
ND,2019,0.44,5.429,59.9
NM,1979,0.12,0.626,101
KS,1991,0.24,1.742,91.8
WV,1980,0.17,0.662,122.3
CO,2006,0.84,4.025,53.1
TX,1983,0.185,0.938,126.4
TN,1981,0.13,0.683,129.1
NH,2013,1.68,6.009,89.6
NJ,1977,0.19,0.619,122.8
AL,1999,0.165,2.707,100.7
MA,1983,0.21,1.014,119.8
VA,1977,0.025,0.428,157.7
SC,1970,0.06,0.343,103.6
NY,1996,0.56,2.225,65.9
CT,1979,0.21,0.67,117.4
UT,1973,0.08,0.378,72.7
MO,1997,0.17,1.738,120.6
TX,2000,0.41,3.112,69.3
TX,1987,0.205,1.28,105.8
NC,1984,0.02,0.789,160.6
AL,2006,0.425,3.535,83.3
VA,1997,0.025,1.622,108
NY,2016,4.35,10.226,14
AR,1976,0.1775,0.526,119.1
KS,1975,0.11,0.466,123.4
CO,2012,0.84,5.299,40.6
CA,2014,0.87,5.475,22.7
WV,2001,0.17,2.942,109.4
NY,2017,4.35,10.376,13.3
AR,1973,0.1775,0.455,108
IL,2014,1.98,7.248,33.6
AL,1990,0.165,1.444,108.6
NV,2008,0.8,4.028,61.9
MD,2008,2,5.526,43.3
GA,2005,0.37,3.483,70.2
IL,1985,0.12,1.084,121.6
IA,2003,0.36,3.332,85.4
OK,1996,0.23,1.72,110.8
LA,2009,0.36,4.513,82.6
PA,1980,0.18,0.648,124
TN,2015,0.62,4.993,62.2
PA,1985,0.18,1.049,115.8
WI,1989,0.3,1.511,100.3
NE,2005,0.64,3.648,61
TN,1984,0.13,0.925,125.1
WV,2019,1.2,6.237,75
AR,1987,0.21,1.199,122.3
KY,2018,0.6,5.678,81.6
DE,2001,0.24,3.171,141.4
WY,2007,0.6,3.74,83
KY,1985,0.03,0.854,182.4
TN,1976,0.13,0.496,121.7
AR,1991,0.21,1.773,116.8
IA,1980,0.13,0.614,124.6
MO,1970,0.09,0.368,121.3
ME,1972,0.14,0.41,136.5
IA,1996,0.36,1.893,94
IL,2000,0.58,3.238,70
AK,1989,0.16,1.702,94.4
TN,2007,0.2,3.738,107.4
ND,1996,0.44,1.941,80.8
MT,1983,0.12,0.913,113.7
MI,1971,0.11,0.4,126.1
KY,1974,0.03,0.333,212.4
WY,1993,0.12,1.474,108.4
SD,2006,0.53,3.499,69.2
PA,2010,1.6,5.655,57
MS,2014,0.68,5.151,61.2
NJ,2009,2.575,7.147,32.6
OH,1992,0.18,1.625,112.3
CO,1970,0.05,0.311,124.8
VA,2003,0.025,3.218,95.5
AK,1981,0.08,0.728,144
HI,2012,3.2,8.571,29.8
WV,1986,0.17,1.128,112.1
IN,1994,0.155,1.463,128.2
MA,1987,0.26,1.316,113.8
DE,2011,1.6,5.621,87.6
AR,1974,0.1775,0.486,109.7
WA,2003,1.425,4.661,40.1
VT,1981,0.12,0.668,163.8
IL,2010,0.98,5.884,44.1
IA,1987,0.26,1.242,101.1
CT,1987,0.26,1.297,109
AR,1979,0.1775,0.615,126.5
NM,1993,0.15,1.584,69
MS,1985,0.18,1.06,115.3
SD,1978,0.12,0.541,116.9
GA,1979,0.12,0.593,131
LA,1972,0.11,0.399,125.3
MD,1973,0.06,0.358,137.3
MI,1972,0.11,0.402,131.4
PA,2014,1.6,6.463,50.8
TX,1974,0.185,0.506,114.7
GA,2001,0.12,3.069,85.9
DC,1981,0.13,0.748,131.9
RI,2013,3.5,8.219,35.3
ME,2004,1,4.057,72.4
AR,1980,0.1775,0.647,131.8
WI,2013,2.52,7.421,39.8
UT,1999,0.515,3.129,43.9
DC,2010,2.5,7.13,23.1
AL,1996,0.165,1.674,101.4
DE,2000,0.24,2.887,140.7
WY,1975,0.08,0.426,160.7
NY,1975,0.15,0.542,123.9
MD,1992,0.16,1.937,91.7
MI,1977,0.11,0.54,140.3
NY,1993,0.39,2.077,78.2
SC,2008,0.07,3.319,89.1
VA,1994,0.025,1.575,106.2
IA,1971,0.13,0.419,108.4
CA,2013,0.87,5.51,23.9
IN,2004,0.555,3.451,97.7
HI,1987,0.3,1.338,54.7
TN,2004,0.2,3.182,96.5
ID,1973,0.091,0.38,121.8
AR,1995,0.315,1.671,113
NM,1978,0.12,0.576,103.1
MN,2006,1.485,4.589,55.6
TX,1982,0.185,0.841,131.2
NC,2002,0.05,3.072,98.5
TN,2010,0.62,4.784,72.6
NE,1995,0.34,1.755,88.5
DE,1991,0.14,1.747,118.8
MN,1978,0.18,0.609,118.9
TX,1970,0.155,0.42,106.4
CA,1991,0.35,2.019,68.7
ME,2017,2,7.066,49.6
MO,2019,0.17,5.208,72.2
WI,2010,2.52,7.021,48.2
DE,2005,0.55,3.484,178.8
OK,1986,0.18,1.144,119.9
WI,1975,0.16,0.513,113.5
AZ,2000,0.58,3.458,58.5
IN,1987,0.105,1.093,134
AR,1982,0.1775,0.82,127.4
FL,2003,0.339,3.312,76.7
FL,1986,0.21,1.208,124.7
NM,1990,0.15,1.469,70.8
MI,1981,0.11,0.68,139.5
MI,2006,2,5.293,56.5
IL,1988,0.2,1.327,107.6
MA,1978,0.21,0.645,120.5
MT,2017,1.7,6.535,41.1
MO,2010,0.17,4.106,92.3
IL,1975,0.12,0.484,131.8
IL,1983,0.12,0.896,127.9
MN,1999,0.48,3.036,80.7
WV,2013,0.55,4.83,103.1
PA,1978,0.18,0.606,122.3
UT,1974,0.08,0.405,75.6
NV,1975,0.1,0.449,205.2
WY,1987,0.08,1.129,110.4
KY,2011,0.6,4.736,103.7
SD,1979,0.12,0.588,117.4
ME,1988,0.28,1.444,125
NM,2013,1.66,6.168,26.4
NH,1995,0.25,1.686,158.5
SC,1983,0.07,0.813,131.1
WV,1973,0.12,0.42,116.6
VT,1989,0.17,1.437,120.9
AL,2012,0.425,4.841,67.2
ND,1974,0.11,0.426,110.5
OK,1981,0.18,0.717,143.7
CA,1980,0.1,0.664,120.2
GA,1981,0.12,0.678,131.7
DC,1984,0.13,1.004,124.6
CO,2005,0.84,4.036,57.9
FL,1998,0.339,2.156,91.7
OK,1979,0.13,0.629,141.6
FL,2014,1.339,5.548,42.4
AZ,2010,2,6.459,24.8
NH,1980,0.12,0.584,247.8
KS,2014,0.79,5.247,39.5
NJ,2019,2.7,8.061,24.1
MN,2009,1.56,5.671,48.7
TX,1991,0.26,1.86,79.6
MO,2016,0.17,4.615,83.4
TX,1978,0.185,0.622,126.6
ME,1990,0.28,1.589,117.5
IN,2006,0.555,3.49,98.7
VA,1986,0.025,0.946,135.8
MA,1992,0.26,1.806,90.5
KS,1986,0.24,1.145,109.4
MT,2012,1.7,6.128,45.5
MN,1991,0.38,1.977,86.2
SD,2012,1.53,5.831,42.8
AK,1993,0.29,2.009,95.2
DC,2017,2.92,7.936,13.2
AR,1971,0.1775,0.441,104.1
AK,1985,0.08,1.1,128.9
RI,2004,1.71,5.452,61.1
WA,1970,0.11,0.403,96.7
MN,1995,0.48,2.086,84.1
ME,1974,0.14,0.467,142.1
WI,2005,0.77,3.783,70.1
LA,1999,0.2,2.812,101
GA,1970,0.08,0.358,109.9
AR,2013,1.15,5.521,57.5
MI,2003,1.25,4.334,72.3
DC,1979,0.13,0.656,128.5
CA,2009,0.87,5.087,28.8
VT,1997,0.44,2.139,97.7
ME,1976,0.16,0.509,144.9
TN,1978,0.13,0.573,127.3
ME,2014,2,6.529,47.4
AR,1985,0.21,1.036,125.8
DC,1991,0.17,1.874,82.2
AZ,2005,1.18,4.156,42.3
MD,1970,0.06,0.342,123.5
WV,1997,0.17,1.711,114.5
OH,2006,1.25,4.19,70.5
HI,1989,0.33,1.655,57.4
IN,2009,0.995,4.814,78.9
AL,1984,0.16,0.99,113
NE,2015,0.64,5.234,46.6
WA,1984,0.23,1.144,96.2
MA,1990,0.26,1.633,99.4
AK,2003,1,4.415,63.6
AK,1980,0.08,0.635,134
OH,1999,0.24,2.654,104
RI,2002,1.32,4.42,74.7
FL,2006,0.339,3.435,71.9
GA,1987,0.12,1.092,129.3
CA,1977,0.1,0.587,126.4
RI,2018,4.25,9.597,31.4
MD,1994,0.36,1.763,80.8
KS,1995,0.24,1.677,90.1
NC,2001,0.05,2.912,100.1
MS,1973,0.09,0.414,115
AK,1983,0.08,0.962,146.9
WV,1972,0.12,0.399,117.5
TX,2010,1.41,5.642,38.2
KY,2006,0.3,3.324,145.3
WV,1994,0.17,1.568,104.2
ND,1977,0.11,0.532,122.2
MT,1988,0.16,1.23,87.1
NY,2002,1.5,5.684,46.5
CO,1971,0.05,0.312,125.5
GA,2000,0.12,2.878,88.1
AR,1998,0.315,2.069,109.5
NH,2004,0.52,3.516,148.4
MN,2002,0.48,3.523,71
NH,1978,0.12,0.532,269.6
GA,1980,0.12,0.626,134
IL,1982,0.12,0.808,130.7
FL,1981,0.21,0.79,132.8
MI,2015,2,6.673,44.5
NY,1992,0.39,2.038,82.4
ID,1987,0.18,1.219,95
MT,1995,0.18,1.568,90.5
AL,2014,0.425,5.102,61.7
VT,1975,0.12,0.471,155.5
AK,2000,1,4.397,66
SC,1979,0.07,0.523,135.7
IN,2002,0.155,3.574,121.4
MI,1997,0.75,2.43,75.6
TX,2007,1.41,4.455,49.3
IA,2010,1.36,5.736,51.3
MD,2006,1,4.11,48.9
LA,1992,0.2,1.805,108.5
AL,2004,0.425,3.569,87.9
AK,1972,0.08,0.42,130
WA,2012,3.025,7.693,20.3
IN,1992,0.155,1.575,128.2
NC,1979,0.02,0.473,197.3
WI,2003,0.77,3.813,71
NJ,1979,0.19,0.664,123.8
CT,1971,0.16,0.513,117.6
ND,1972,0.11,0.394,103.8
AR,2006,0.59,3.714,81.4
CO,2017,0.84,5.696,34.5
HI,1985,0.24,1.172,69.8
MI,1976,0.11,0.483,138
AZ,2007,2,5.202,37.5
MI,2004,1.25,5.087,68.5
OK,2009,1.03,5.209,79
KY,1980,0.03,0.494,215.3
RI,2009,3.46,7.735,44.7
MO,1994,0.13,1.503,119.4
IL,1973,0.12,0.419,124.4
NE,1986,0.23,1.137,103.1
AR,2001,0.315,3.3,101.7
CO,1975,0.1,0.448,131
NJ,2011,2.7,7.372,32.5
IA,1970,0.1,0.385,108.5
MO,2018,0.17,4.956,75.3
CA,1992,0.35,2.051,67.5
SD,1985,0.15,1.085,104.4
CT,2018,4.35,9.753,23.8
AZ,2009,2,6.274,28.6
AK,1986,0.16,1.215,126.3
ME,2009,2,6.241,52.3
VA,1978,0.025,0.458,155.9
CO,2003,0.2,3.214,63.8
VT,2009,1.99,6.657,48.9
KS,2012,0.79,5.154,43
GA,2015,0.37,4.82,47.3
DE,2002,0.24,3.23,142.4
VT,2014,2.62,7.689,40.4
CT,2011,3,8.005,36.3
OH,2009,1.25,5.37,61.6
MD,1990,0.13,1.416,102.8
KY,2000,0.03,2.586,156.2
IA,1997,0.36,1.938,93.9
ID,1996,0.28,1.844,73.6
AZ,1991,0.15,1.657,81.2
AL,1976,0.12,0.501,116.2
NC,1998,0.05,1.868,126
PA,2019,2.6,8.238,35.7
SC,1980,0.07,0.547,138.3
WV,1987,0.17,1.222,107.5
WI,1985,0.25,1.108,107
WV,2007,0.55,3.567,110.5
RI,2015,3.5,8.62,36.8
MA,2017,3.51,9.398,24.3
WY,1985,0.08,0.978,125.7
MO,2015,0.17,4.532,81.8
OR,1973,0.09,0.366,155.3
AR,2019,1.15,6.259,47.6
OH,2000,0.24,2.793,99.9
OH,1994,0.24,1.556,108.6
OH,1987,0.14,1.084,124.6
IL,1999,0.58,3.127,72.2
LA,1976,0.11,0.489,139.6
OH,1979,0.15,0.587,130.9
OH,1973,0.15,0.429,120.5
IL,1978,0.12,0.568,136.7
NV,2001,0.35,3.221,90.5
OH,1978,0.15,0.563,131.3
MN,1971,0.13,0.452,116.4
WY,1991,0.12,1.551,109.1
DE,1971,0.11,0.447,161.1
DE,1990,0.14,1.432,127.2
NJ,2005,2.4,5.615,37.5
MT,2009,1.7,5.766,49.8
NJ,2000,0.8,3.637,60.1
NJ,2006,2.4,5.989,37.7
IN,2013,0.995,5.257,66.9
RI,2006,2.46,5.712,47.3
PA,2002,0.31,3.977,86.9
TN,2012,0.62,4.832,68.3
AZ,2016,2,6.923,23.1
TX,2015,1.41,5.946,33.8
NC,1972,0.02,0.289,214.1
ID,2016,0.57,5.213,40.7
DC,1977,0.13,0.598,136.7
TN,1992,0.13,1.702,121
WA,2016,3.025,7.986,18
NE,1980,0.13,0.609,116.3
GA,2009,0.37,4.531,58.8
DE,2009,1.15,5.351,122.8
NJ,1974,0.19,0.528,121.4
NM,1987,0.15,1.137,82.3
ME,2015,2,6.669,46.9
VT,2019,3.08,8.823,31.5
NH,1987,0.17,1.135,195.1
NM,1981,0.12,0.694,103
AR,1999,0.315,2.793,104.8
AL,1991,0.165,1.722,107.9
MN,2019,3.628,9.128,24.6
WY,2019,0.6,5.679,49.4
MO,1975,0.09,0.447,135.6
ND,1975,0.11,0.459,117.9
ND,1985,0.18,1.042,103.2
MT,1982,0.12,0.772,122.4
RI,2016,3.75,8.822,35.2
OR,2006,1.18,4.21,54.7
AK,1992,0.29,2.191,98.5
MD,1989,0.13,1.315,109
MN,1985,0.18,1.163,113
MT,1977,0.12,0.519,127
DE,1984,0.14,0.987,144
CT,1970,0.16,0.455,120
VA,2001,0.025,2.945,94.1
AK,1995,0.29,2.125,89.5
IL,1986,0.2,1.162,118.2
WY,2011,0.6,4.857,70.5
PA,2016,1.6,7.804,48.2
VT,2018,3.08,8.582,32.8
ME,1992,0.33,1.926,114.7
CA,1973,0.1,0.419,124.4
WV,2010,0.55,4.588,113
AK,2014,2,8.901,37.2
OR,2017,1.32,6.124,38.3
SD,1995,0.23,1.712,98.6
NH,2018,1.78,6.611,83.4
MT,1974,0.12,0.437,121.9
VA,1970,0.025,0.302,124.3
WV,1971,0.12,0.413,111.5
FL,1973,0.17,0.481,132.6
OH,2019,1.6,6.62,45.7
SC,1981,0.07,0.619,136.1
VA,1990,0.025,1.365,118.9
WY,2001,0.12,3.103,92.9
AZ,1982,0.13,0.805,113.5
AZ,2012,2,6.6,25
MN,2004,0.48,3.515,73
OH,1988,0.18,1.205,122.4
CA,2004,0.87,3.841,33.1
TX,2001,0.41,3.267,62.1
KY,2004,0.03,3.01,174.4
MA,2016,3.51,9.076,25.6
DE,1994,0.24,1.607,126.1
IN,2003,0.555,3.514,101.1
OR,1986,0.27,1.171,112
ME,2011,2,6.501,51.1
WV,1985,0.17,1.041,109.1
FL,2019,1.339,6.262,36.2
RI,2001,0.71,3.869,79.5
ID,2009,0.57,4.564,52.4
OK,2005,1.03,4.004,98.2
IL,2018,1.98,7.604,28.3
CA,2000,0.87,3.655,41.6
MO,2009,0.17,4.036,97.2
FL,1989,0.24,1.501,113.8
MO,1991,0.13,1.531,119.9
OK,1974,0.13,0.436,130.5
AK,1982,0.08,0.86,148.3
ID,1971,0.07,0.337,108.5
MT,1971,0.12,0.401,115.6
DE,2010,1.6,5.577,95
WV,1992,0.17,1.662,98
OK,1994,0.23,1.611,104.8
OH,1983,0.14,0.892,130
NH,1999,0.37,3.139,171.7
ID,1990,0.18,1.444,90.1
AK,2001,1,4.433,65.2
MS,2012,0.68,4.902,66.5
MS,1978,0.11,0.565,124.9
RI,2017,3.75,9.429,34.2
MN,1993,0.43,1.961,81.6
DE,1981,0.14,0.741,152.6
HI,2018,3.2,9.317,24.2
TX,2016,1.41,6.043,32.8
NC,1973,0.02,0.301,226.5
RI,1990,0.27,1.703,101.4
NC,2004,0.05,3.034,95.6
KS,1996,0.24,1.713,88.7
GA,1971,0.12,0.409,115.7
GA,2004,0.37,3.362,68.1
MN,1998,0.48,2.274,83.2
CO,1990,0.2,1.457,87.4
SD,2017,1.53,6.455,41.6
WY,2000,0.12,2.912,90.5
SD,1974,0.12,0.428,108.4
DE,2018,2.1,6.846,64.2
NY,2014,4.35,10.066,15.4
TX,1989,0.26,1.457,94.5
DE,1982,0.14,0.82,154.1
FL,2007,0.339,3.606,69.9
NJ,1970,0.14,0.417,120.7
NJ,2008,2.575,6.222,34.2
ID,1989,0.18,1.413,78.4
ME,2018,2,7.111,45.4
MS,1986,0.18,1.158,113.2
VA,2006,0.3,3.504,78.9
MD,1998,0.36,2.195,72
NC,1988,0.02,1.076,146
CT,2016,3.65,8.892,28.3
AR,1984,0.21,0.985,123.1
RI,1977,0.18,0.563,148.8
ME,1983,0.16,0.937,135.4
CO,1985,0.15,0.951,112.4
MT,1999,0.18,2.607,82.6
WV,1989,0.17,1.429,104
TX,1990,0.26,1.736,85.6
WA,1981,0.16,0.803,112.7
NM,2008,0.91,4.197,34
NE,1976,0.13,0.481,118.1
KS,2008,0.79,4.082,51.7
MI,1970,0.11,0.392,128.6
MT,1980,0.12,0.604,122
IL,2002,0.58,4.038,70.9
RI,1975,0.18,0.522,154.7
NY,1976,0.15,0.538,124.6
AZ,1978,0.13,0.586,124.7
IL,1992,0.3,1.875,94.8
MA,2003,1.51,5.153,47.5
AL,2016,0.675,5.41,60.1
WA,1998,0.825,2.867,56.4
WI,2006,0.77,3.868,71.3
ND,2011,0.44,4.506,69
FL,2005,0.339,3.433,75.3
NM,1973,0.12,0.437,98.9
AR,1988,0.21,1.277,121.5
NY,1980,0.15,0.659,127.6
NC,1981,0.02,0.555,179.3
MS,2013,0.68,4.875,63.9
VA,2005,0.3,3.529,82.5
MI,1980,0.11,0.618,140.7
DC,1972,0.04,0.345,220.6
TN,1991,0.13,1.639,120.6
WI,2009,1.77,6.921,55.3
CA,2012,0.87,5.4,25.2
FL,1990,0.24,1.748,110.1
MS,1995,0.18,1.612,107.5
WA,2005,1.425,5.284,37.2
TN,1996,0.13,1.611,119.2
NC,2017,0.45,4.975,54.5
TX,2004,0.41,3.364,55.8
LA,2015,0.36,5.457,73.8
NY,1970,0.12,0.417,119
AK,1997,0.29,2.97,81.7
IA,1988,0.34,1.451,100.2
HI,1997,0.6,2.603,49.1
ME,1996,0.37,1.902,100
SD,1971,0.12,0.391,96.7
NV,2017,1.8,6.446,36.3
ME,2013,2,6.452,48.5
NH,1998,0.25,2.228,173.8
NJ,1987,0.25,1.318,111.6
SD,2013,1.53,5.766,42.7
GA,1977,0.12,0.547,127.9
RI,2003,1.32,4.802,67.3
LA,1982,0.11,0.807,143.9
DC,2008,1,5.096,38.1
NH,2011,1.78,5.93,92.9
WI,1981,0.16,0.75,119.9
CT,1976,0.21,0.584,113.4
VT,1983,0.12,0.906,153.8
DC,1983,0.13,0.985,124.5
NV,1988,0.2,1.456,141.9
DC,2005,1,4.256,37.3
ID,1984,0.091,0.976,103.6
HI,1983,0.21,1.039,80
IL,1974,0.12,0.452,131.9
CO,2015,0.84,5.443,36.3
VT,2016,3.08,8.034,37.4
CT,2019,4.35,10.043,21.9
NC,1987,0.02,0.96,150.5
CA,1986,0.1,1.039,99.7
VA,1982,0.025,0.688,147.4
MA,2013,2.51,8.683,32.2
LA,1996,0.2,1.669,106.8
NJ,1998,0.4,2.732,72.6
ME,1973,0.14,0.418,138
WA,1977,0.16,0.586,99.3
ME,1993,0.37,1.783,108.5
SD,2007,1.53,4.391,58.5
ID,1978,0.091,0.554,122.8
AL,1993,0.165,1.546,108.5
MT,2018,1.7,6.692,37.2
LA,1990,0.16,1.496,101.5
TN,1994,0.13,1.53,118.8
OH,1989,0.18,1.354,118.6
LA,2001,0.24,3.122,83.1
IA,2004,0.36,3.273,83.7
TX,1980,0.185,0.669,129.7
NE,2009,0.64,4.693,59.8
TX,1977,0.185,0.591,124.2
RI,1987,0.25,1.215,124.4
AK,2008,2,6.69,47
WY,2005,0.6,3.65,76.4
HI,1995,0.6,2.311,45.7
MT,2006,1.7,4.914,51.6
MN,2013,1.6,7.616,43.1
NV,1987,0.15,1.296,147.7
UT,1986,0.12,1.086,64.4
WA,2007,2.025,5.512,32.4
DE,1988,0.14,1.24,137.1
ND,2013,0.44,4.552,72.5
TN,1998,0.13,1.895,119.7
VA,2014,0.3,4.911,67
MN,1983,0.18,0.992,113.2
TN,1977,0.13,0.548,124.6
MO,1972,0.09,0.377,130
SC,1996,0.07,1.539,102.9
NM,1989,0.15,1.336,74.4
AR,2009,1.15,5.288,72.6
NH,2005,0.52,3.725,138.6
MT,1989,0.16,1.404,86.2
WA,1971,0.16,0.461,97
CA,1994,0.37,1.951,58.6
PA,1994,0.31,1.617,95.4
IN,1978,0.105,0.525,150.9
IL,1991,0.3,1.798,96.1
DE,2012,1.6,5.833,84.9
CT,2010,3,7.548,40.8
WY,1972,0.08,0.344,140
NH,1992,0.25,1.811,143.7
MT,2008,1.7,5.008,52.6
MD,1991,0.13,1.591,97.6
MS,2005,0.18,3.179,88.8
VA,2002,0.025,3.076,92.1
TX,1993,0.41,1.777,81.3
ND,2010,0.44,4.409,69.3
OH,2017,1.6,6.307,50.1
MD,2010,2,6.252,35
MN,2014,3.342,7.814,31.4
TX,2018,1.41,6.318,29.1
PA,1975,0.18,0.523,114.6
OR,1980,0.09,0.569,146.5
IN,2011,0.995,5.199,69.6
TX,1972,0.185,0.464,108.6
DC,1978,0.13,0.593,130.3
UT,2003,0.695,3.701,36.5
CO,1992,0.2,1.682,88.3
KY,1984,0.03,0.793,183.2
FL,1974,0.17,0.517,136
RI,1996,0.56,2.17,87.5
VA,1992,0.025,1.657,108.2
NH,1977,0.12,0.497,278.8
MA,1974,0.16,0.494,124.3
